step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
67,339052,268,0.02965284818679829,0.0,0.8135593220338984,,,
68,346448,272,0.020388585955914543,0.0,0.8934426229508197,,,
69,353076,276,0.017688268237352558,0.0,0.717948717948718,,,
70,356344,280,0.024295155401068157,0.0,0.7804878048780488,,,
71,363900,284,0.024524604904589162,0.0,0.8448275862068966,,,
72,371648,288,0.029264321135334982,0.0,0.875,,,
73,377796,292,0.020869762884304466,0.0,0.9047619047619048,0.037429665505933234,0.0,0.872
74,382184,296,0.02540883276621106,0.0,0.8780487804878049,,,
75,389900,300,0.012553324443734354,0.25,0.8666666666666667,,,
76,394672,304,0.0245630494128146,0.25,0.9473684210526315,,,
77,402388,308,0.02918135886699047,0.0,0.8613861386138614,,,
78,406232,312,0.027320776543196357,0.25,0.7567567567567568,,,
79,409052,316,0.03329246690911723,0.0,0.8266666666666667,,,
80,413984,320,0.01626187655607377,0.0,0.9407407407407408,,,
81,417092,324,0.034367087199869924,0.0,0.8769230769230769,0.02366875528794826,0.0,0.8723404255319149
82,424936,328,0.015987276491626606,0.0,0.8356164383561644,,,
83,430284,332,0.01798163157305073,0.25,0.9333333333333333,,,
84,432784,336,0.041202971674737285,0.0,0.9144736842105263,,,
85,440500,340,0.017069068133814744,0.0,0.8367346938775511,,,
86,442968,344,0.03158442561737809,0.0,0.9074074074074074,,,
87,447708,348,0.02900362060866213,0.25,0.8311688311688312,,,
88,452896,352,0.01847093165189137,0.0,0.916083916083916,,,
89,460612,356,0.021553605347973657,0.0,0.9047619047619048,0.034971737566267085,0.25,0.8636363636363636
90,468424,360,0.023855917284210888,0.25,0.7317073170731707,,,
91,475628,364,0.015856117307540135,0.25,0.75,,,
92,480496,368,0.020799374597821246,0.25,0.84,,,
93,483732,372,0.0330453273690168,0.0,0.9047619047619048,,,
94,489816,376,0.01674348611150315,0.0,0.7333333333333333,,,
95,497980,380,0.027255164847534406,0.0,0.8636363636363636,,,
96,500416,384,0.03783897430108692,0.0,0.8478260869565217,,,
97,503908,388,0.02562977876055061,0.0,0.8703703703703703,0.04961359809339879,0.0,0.8222222222222222
98,511816,392,0.021944589151675402,0.0,0.8636363636363636,,,
99,516460,396,0.02023468064293909,0.0,0.8947368421052632,,,
100,519504,400,0.02355657754932337,0.0,0.7540983606557377,,,
101,527348,404,0.022936995614810145,0.0,0.6875,,,
102,533656,408,0.022323695133372606,0.0,0.7586206896551724,,,
103,535388,412,0.07167816909258119,0.0,0.8859060402684564,,,
104,537600,416,0.03883591753712682,0.0,0.5454545454545454,,,
105,541252,420,0.0483964240379091,0.0,0.5538461538461539,0.029732455707402045,0.0,0.8771929824561403
106,544968,424,0.03150988559127012,0.0,0.7209302325581395,,,
107,547596,428,0.029582328739035303,0.25,0.7,,,
108,551920,432,0.031821939367803156,0.0,0.8064516129032258,,,
109,555956,436,0.026451684604503787,0.0,0.90625,,,
110,561944,440,0.024427340035935753,0.25,0.65,,,
111,569756,444,0.02396527902294674,0.0,0.6666666666666666,,,
112,577600,448,0.023565338198934593,0.0,0.7981651376146789,,,
113,584740,452,0.020334432021317666,0.0,0.9432624113475178,0.014773686284325236,0.0,0.8823529411764706
114,589320,456,0.026083263960411694,0.25,0.9090909090909091,,,
115,592460,460,0.021696990339980814,0.0,0.9113924050632911,,,
116,595536,464,0.04080403506716404,0.0,0.7083333333333334,,,
117,598548,468,0.03452539613238265,0.0,0.8921568627450981,,,
118,603864,472,0.023751282106033063,0.25,0.9651162790697675,,,
119,606812,476,0.031968079797717645,0.0,0.7857142857142857,,,
120,614656,480,0.02281824025795574,0.0,0.7540983606557377,,,
121,617892,484,0.03308147630630107,0.0,0.8888888888888888,0.02911641314932061,0.0,0.8414634146341463
122,619560,488,0.04635453502820204,0.0,0.8085106382978723,,,
123,623436,492,0.02361032247958103,0.25,0.9325842696629213,,,
124,626000,496,0.031049937941413707,0.25,0.9130434782608695,,,
125,628212,500,0.03177912091752553,0.0,0.7333333333333333,,,
