step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
39,188476,156,0.01689600555748349,0.5,0.9523809523809523,,,
40,195872,160,0.020525266655022183,0.0,0.8939393939393939,,,
41,199844,164,0.026378662980468266,0.25,0.851063829787234,0.02159801045534282,0.0,0.9261363636363636
42,207592,168,0.01922201157054167,0.0,0.8292682926829268,,,
43,211756,172,0.024435346292786084,0.0,0.75,,,
44,214576,176,0.029685158944584657,0.0,0.78,,,
45,219828,180,0.021435196869374604,0.0,0.6986301369863014,,,
46,223576,184,0.02612744588962024,0.0,0.6666666666666666,,,
47,227260,188,0.02711830712485596,0.0,0.9171974522292994,,,
48,232256,192,0.01972520398657434,0.0,0.5714285714285714,,,
49,235396,196,0.022894986341325075,0.25,0.9401709401709402,0.024944743198638424,0.0,0.896551724137931
50,243208,200,0.020790642737898078,0.0,0.961864406779661,,,
51,251180,204,0.014168862097559898,0.0,0.9583333333333334,,,
52,253968,208,0.026776079994935444,0.0,0.8923076923076924,,,
53,258900,212,0.0239371714171055,0.0,0.9186046511627907,,,
54,260984,216,0.03806190154198702,0.0,0.8648648648648649,,,
55,262620,220,0.03856560750525601,0.0,0.8725490196078431,,,
56,264512,224,0.051805542139729766,0.0,0.8382352941176471,,,
57,270244,228,0.02995909551077975,0.0,0.8888888888888888,0.026334252729515284,0.0,0.8852459016393442
58,274728,232,0.023014068523354962,0.0,0.8372093023255814,,,
59,280908,236,0.023769693498360514,0.0,0.9123711340206185,,,
60,282832,240,0.04068023842747138,0.0,0.875,,,
61,288148,244,0.029770225478810097,0.25,0.8636363636363636,,,
62,294680,248,0.018058261930622592,0.0,0.918918918918919,,,
63,296764,252,0.038102332916930194,0.0,0.7142857142857143,,,
64,302208,256,0.017616647572157924,0.0,0.7058823529411765,,,
65,309924,260,0.019245695845033356,0.0,0.88,0.03590302895822419,0.0,0.7473684210526316
66,315304,264,0.018398973205650156,0.0,0.8787878787878788,,,
67,320812,268,0.022355373808090287,0.0,0.9098360655737705,,,
68,327408,272,0.016405489118889966,0.25,0.8571428571428571,,,
69,329044,276,0.03740005095395446,0.0,0.9193548387096774,,,
70,335224,280,0.02970010965345225,0.0,0.9257425742574258,,,
71,340124,284,0.021876327663759076,0.0,0.8928571428571429,,,
72,344704,288,0.017243468537249725,0.25,0.9365079365079365,,,
73,346820,292,0.04584823824531017,0.25,0.881578947368421,0.03184506062440095,0.0,0.8953488372093024
74,354984,296,0.024788282270865138,0.0,0.8527918781725888,,,
75,357292,300,0.035166241820303895,0.25,0.7727272727272727,,,
76,361872,304,0.01672492814417159,0.0,0.9215686274509803,,,
77,364916,308,0.03086255890052132,0.0,0.9411764705882353,,,
78,370136,312,0.024128709444605632,0.0,0.796875,,,
79,373436,316,0.024803137978928243,0.0,0.8589743589743589,,,
80,381344,320,0.014024116945663544,0.0,0.8266666666666667,,,
81,384580,324,0.017040082260090943,0.5,0.9649122807017544,0.029616631921114404,0.0,0.921875
82,388968,328,0.022431708017157433,0.0,0.9364161849710982,,,
83,396524,332,0.022243069604461978,0.25,0.71875,,,
84,404656,336,0.043430736681898265,0.0,0.7612612612612613,,,
85,412596,340,0.01853567962422079,0.0,0.84,,,
86,415352,344,0.02572135057389324,0.0,0.9333333333333333,,,
87,423132,348,0.021502627880031766,0.25,0.6071428571428571,,,
88,426880,352,0.029710608916578365,0.0,0.8148148148148148,,,
89,432900,356,0.025556661341321386,0.0,0.8,0.020806581351360594,0.0,0.8627450980392157
90,434952,360,0.034999022432989364,0.0,0.9515151515151515,,,
91,437228,364,0.054661658813116125,0.0,0.8285714285714286,,,
92,439888,368,0.028376677109729978,0.0,0.8392857142857143,,,
93,447668,372,0.01760459501066988,0.0,0.8596491228070176,,,
94,449720,376,0.06484996583142208,0.25,0.6829268292682927,,,
